code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367743,21.0,False,False,206,2024-01-13T12:30:00Z,0,False,False,10,,7,,[],2,3,93526
2367746,21.0,False,False,209,2024-01-13T17:30:00Z,0,False,False,13,,15,,[],5,4,93529
2367744,21.0,False,False,207,2024-01-14T14:00:00Z,0,False,False,2,,9,,[],3,2,93527
2367745,21.0,False,False,208,2024-01-14T16:30:00Z,0,False,False,18,,14,,[],3,4,93528
2367742,21.0,False,False,205,2024-01-15T19:45:00Z,0,False,False,12,,6,,[],2,2,93525
2367739,21.0,False,False,201,2024-01-20T12:30:00Z,0,False,False,8,,1,,[],2,4,93521
2367740,21.0,False,False,203,2024-01-20T17:30:00Z,0,False,False,16,,4,,[],2,3,93523
2367747,21.0,False,False,210,2024-01-21T14:00:00Z,0,False,False,19,,17,,[],2,2,93530
2367738,21.0,False,False,202,2024-01-21T16:30:00Z,0,False,False,11,,3,,[],4,2,93522
2367741,21.0,False,False,204,2024-01-22T19:45:00Z,0,False,False,20,,5,,[],2,3,93524
